sym,name,exchange,account_flag,multiplier,open_amt_rate,open_per_lot,close_amt_rate,close_per_lot,today_amt_rate,today_per_lot,as_of
RB,螺纹钢,SHFE,投机,10,0.0001,0.01,0.0001,0.01,0.0001,0.01,20260911
HC,热卷,SHFE,投机,10,0.0001,0.01,0.0001,0.01,0.0001,0.01,20260911
SS,不锈钢,SHFE,投机,5,0.0,2.01,0.0,2.01,0.0,0.01,20260911
CU,铜,SHFE,投机,5,5e-05,0.01,5e-05,0.01,0.0001,0.01,20260911
AL,铝,SHFE,投机,5,0.0,3.01,0.0,3.01,0.0,3.01,20260911
AO,氧化铝,SHFE,投机,20,0.0001,0.01,0.0001,0.01,0.0001,0.01,20260911
ZN,锌,SHFE,投机,5,0.0,3.01,0.0,3.01,0.0,0.01,20260911
PB,铅,SHFE,投机,5,4e-05,0.01,4e-05,0.01,0.0,0.01,20260911
NI,镍,SHFE,投机,1,0.0,3.01,0.0,3.01,0.0,3.01,20260911
SN,锡,SHFE,投机,1,0.0,3.01,0.0,3.01,0.0,3.01,20260911
AU,黄金,SHFE,投机,1000,0.0,20.01,0.0,20.01,0.0,0.01,20260911
AG,白银,SHFE,投机,15,1e-05,0.01,1e-05,0.01,1e-05,0.01,20260911
RU,橡胶,SHFE,投机,10,0.0,3.01,0.0,3.01,0.0,0.01,20260911
BR,丁二烯橡胶,SHFE,投机,5,2e-05,0.01,2e-05,0.01,2e-05,0.01,20260911
FU,燃料油,SHFE,投机,10,5e-05,0.01,5e-05,0.01,0.0,0.01,20260911
BU,沥青,SHFE,投机,10,5e-05,0.01,5e-05,0.01,0.0,0.01,20260911
SP,纸浆,SHFE,投机,10,2e-05,0.01,2e-05,0.01,0.0,0.01,20260911
SC,原油,INE,投机,1000,0.0,20.01,0.0,20.01,0.0,0.01,20260911
NR,20号胶,INE,投机,10,2e-05,0.01,2e-05,0.01,0.0,0.01,20260911
LU,低硫燃料油,INE,投机,10,1e-05,0.01,1e-05,0.01,1e-05,0.01,20260911
BC,国际铜,INE,投机,5,1e-05,0.01,1e-05,0.01,0.0,0.01,20260911
EC,集运欧线,INE,投机,50,0.0006,0.01,0.0006,0.01,0.0012,0.01,20260911
A,豆一,DCE,投机,10,0.0,2.01,0.0,2.01,0.0,2.01,20260911
B,豆二,DCE,投机,10,0.0,1.01,0.0,1.01,0.0,1.01,20260911
M,豆粕,DCE,投机,10,0.0,1.51,0.0,1.51,0.0,1.51,20260911
Y,豆油,DCE,投机,10,0.0,2.51,0.0,2.51,0.0,2.51,20260911
P,棕榈油,DCE,投机,10,0.0,2.51,0.0,2.51,0.0,2.51,20260911
C,玉米,DCE,投机,10,0.0,1.21,0.0,1.21,0.0,1.21,20260911
CS,淀粉,DCE,投机,10,0.0,1.51,0.0,1.51,0.0,1.51,20260911
RR,粳米,DCE,投机,10,0.0,1.01,0.0,1.01,0.0,1.01,20260911
JD,鸡蛋,DCE,投机,10,0.00015,0.01,0.00015,0.01,0.00015,0.01,20260911
LH,生猪,DCE,投机,16,0.0002,0.01,0.0001,0.01,0.0002,0.01,20260911
LG,原木,DCE,投机,90,3e-05,0.01,3e-05,0.01,3e-05,0.01,20260911
L,塑料,DCE,投机,5,0.0,1.01,0.0,1.01,0.0,1.01,20260911
V,PVC,DCE,投机,5,0.0,1.01,0.0,1.01,0.0,1.01,20260911
PP,聚丙烯,DCE,投机,5,0.0,1.01,0.0,1.01,0.0,1.01,20260911
EG,乙二醇,DCE,投机,10,0.0,3.01,0.0,3.01,0.0,3.01,20260911
EB,苯乙烯,DCE,投机,5,0.0,1.01,0.0,1.01,0.0,1.01,20260911
PG,液化石油气,DCE,投机,20,0.0,6.01,0.0,6.01,0.0,6.01,20260911
J,焦炭,DCE,投机,100,0.00014,0.01,0.0001,0.01,0.00014,0.01,20260911
JM,焦煤,DCE,投机,60,0.0001,0.01,0.0001,0.01,0.0001,0.01,20260911
I,铁矿石,DCE,投机,100,0.0001,0.01,0.0001,0.01,0.0001,0.01,20260911
SR,白糖,CZCE,投机,10,0.0,2.01,0.0,2.01,0.0,0.01,20260911
CF,棉花,CZCE,投机,5,0.0,4.31,0.0,4.31,0.0,0.01,20260911
