sym,name,exchange,broker_margin,exchange_margin,limit_basic,multiplier,as_of,source,note
EB,苯乙烯,DCE,0.0700,0.0700,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
BZ,纯苯,DCE,0.0700,0.0700,0,30,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
Y,大豆原油,DCE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
M,豆粕,DCE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
A,黄大豆1号,DCE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
B,黄大豆2号,DCE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
C,黄玉米,DCE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
BB,胶合板,DCE,0.0800,0.0800,0,500,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
JM,焦煤,DCE,0.1200,0.1200,0,60,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
RR,粳米,DCE,0.0600,0.0600,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
PP,聚丙烯,DCE,0.0700,0.0700,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
V,聚氯乙烯,DCE,0.0700,0.0700,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
L,聚乙烯,DCE,0.0700,0.0700,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
LH,生猪,DCE,0.0800,0.0800,0,16,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
I,铁矿石,DCE,0.0800,0.0800,0,100,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
FB,纤维板,DCE,0.0800,0.0800,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
JD,鲜鸡蛋,DCE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
J,冶金焦炭,DCE,0.1200,0.1200,0,100,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
PG,液化石油气,DCE,0.1100,0.1100,0,20,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
EG,乙二醇,DCE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
CS,玉米淀粉,DCE,0.0600,0.0600,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
LG,原木,DCE,0.0600,0.0600,0,90,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
P,棕榈油,DCE,0.0800,0.0800,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
PD,钯,GFEX,0.1600,0.1600,0,1000,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
PT,铂,GFEX,0.1600,0.1600,0,1000,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
PS,多晶硅,GFEX,0.1300,0.1300,0,3,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
SI,工业硅,GFEX,0.1000,0.1000,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
LC,碳酸锂,GFEX,0.1500,0.1500,0,1,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
NR,20号胶,INE,0.0900,0.0900,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
LU,低硫燃料油,INE,0.1600,0.1600,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
EC,欧线,INE,0.2200,0.2200,0,50,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
BC,铜(BC),INE,0.1100,0.1100,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
SC,原油,INE,0.1600,0.1600,0,1000,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
AG,白银,SHFE,0.2200,0.2200,0,15,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
SS,不锈钢,SHFE,0.1000,0.1000,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
BR,丁二烯橡胶,SHFE,0.1200,0.1200,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
AU,黄金,SHFE,0.1600,0.1600,0,1000,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
OP,胶版印刷纸,SHFE,0.0700,0.0700,0,40,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
AL,铝,SHFE,0.1100,0.1100,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
RB,螺纹钢,SHFE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
NI,镍,SHFE,0.1200,0.1200,0,1,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
PB,铅,SHFE,0.1100,0.1100,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
FU,燃料油,SHFE,0.1600,0.1600,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
HC,热轧卷板,SHFE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
BU,石油沥青,SHFE,0.1200,0.1200,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
RU,天然橡胶,SHFE,0.0900,0.0900,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
CU,铜,SHFE,0.1100,0.1100,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
SN,锡,SHFE,0.1400,0.1400,0,1,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
WR,线材,SHFE,0.1000,0.1000,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
ZN,锌,SHFE,0.1100,0.1100,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
AO,氧化铝,SHFE,0.1100,0.1100,0,20,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
SP,纸浆,SHFE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
AD,铸造铝合金,SHFE,0.1000,0.1000,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
SR,白糖,CZCE,0.0600,0.0600,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
PL,丙烯,CZCE,0.0700,0.0700,0,20,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
FG,玻璃,CZCE,0.0900,0.0900,0,20,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
RM,菜粕,CZCE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
RS,菜籽,CZCE,0.2000,0.2000,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
OI,菜籽油,CZCE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
SA,纯碱,CZCE,0.0800,0.0800,0,20,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
ZC,动力煤,CZCE,0.5000,0.5000,0,100,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
PF,短纤,CZCE,0.0700,0.0700,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
PX,对二甲苯,CZCE,0.0700,0.0700,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
SF,硅铁,CZCE,0.0700,0.0700,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
CJ,红枣,CZCE,0.0800,0.0800,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
PK,花生,CZCE,0.0700,0.0700,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
MA,甲醇,CZCE,0.0700,0.0700,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
JR,粳稻,CZCE,0.1500,0.1500,0,20,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
SM,锰硅,CZCE,0.0700,0.0700,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
CF,棉花,CZCE,0.0700,0.0700,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
CY,棉纱,CZCE,0.0500,0.0500,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
UR,尿素,CZCE,0.0800,0.0800,0,20,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
AP,苹果,CZCE,0.0900,0.0900,0,10,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
PR,瓶片,CZCE,0.0700,0.0700,0,15,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
PM,普麦,CZCE,0.1500,0.1500,0,50,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
WH,强麦,CZCE,0.1500,0.1500,0,20,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
SH,烧碱,CZCE,0.0800,0.0800,0,30,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
RI,早籼稻,CZCE,0.1500,0.1500,0,20,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
TA,PTA,CZCE,0.0700,0.0700,0,5,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
T,10年期国债,CFFEX,0.0200,0.0200,0,10000,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
TS,2年期国债,CFFEX,0.0100,0.0100,0,10000,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
TL,30年期国债,CFFEX,0.0400,0.0400,0,8750,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
TF,5年期国债,CFFEX,0.0100,0.0100,0,12000,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
IF,沪深300指数,CFFEX,0.1200,0.1200,0,300,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
IH,上证50指数,CFFEX,0.1200,0.1200,0,300,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
IM,中证1000指数,CFFEX,0.1200,0.1200,0,200,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
IC,中证500指数,CFFEX,0.1200,0.1200,0,200,20260911,交易所标准保证金(信查期货,commission.xlsx),信查期货 commission.xlsx 手续费表同期提取；买/卖保证金率=broker_margin
